prediction_method,iw_threshold,estimate_kind,n_total,n_evaluated,n_unsupported,empirical_coverage,mae,mean_signed_gap,mean_excess_error,mean_violation_magnitude
dis2_historical,,dis2_with_correction,90,90,0,0.9888888888888889,0.15278821724156538,0.15240730250047313,0.15259775987101926,0.00019045737054612901
dis2_reference,,dis2_with_correction,90,90,0,0.8333333333333334,0.12168739018696084,0.10996210758215157,0.11582474888455621,0.00586264130240464
iw_overlap_critic,1.0,plugin,90,90,0,0.8888888888888888,0.22812514374960913,0.20169578277754796,0.21491046326357852,0.013214680486030554
iw_overlap_critic,2.0,plugin,90,87,3,0.3333333333333333,0.1657969004143119,-0.06919011342937627,0.04830339349246782,0.11749350692184408
iw_overlap_critic,5.0,plugin,90,85,5,0.17647058823529413,0.18024564977977903,-0.14835274859167608,0.01594645059405148,0.16429919918572755
iw_residual_dis2,1.0,plugin,90,90,0,0.28888888888888886,0.1220726891135684,-0.08848718798450264,0.016792750564532867,0.10527993854903551
iw_residual_dis2,2.0,plugin,90,86,4,0.13953488372093023,0.15546093494821064,-0.13703506610046212,0.009212934423874258,0.14624800052433637
iw_residual_dis2,5.0,plugin,90,82,8,0.0975609756097561,0.18881154874495587,-0.17902721378656983,0.004892167479193014,0.18391938126576288
