plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,56,4,0.17030006494313157,0.03571428571428571,0.17004333628728974,iw_residual_dis2,2.0,0,True,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),60,60,60,0,0.08293623973925908,0.2,0.0805417999625206,iw_residual_dis2,2.0,0,True,lower_bound
accuracy_vs_baselines,logits,COT,60,60,60,0,0.08075333839903275,0.16666666666666666,0.07900888292739788,iw_residual_dis2,2.0,0,True,lower_bound
accuracy_vs_baselines,logits,AC,60,60,60,0,0.10910890946785609,0.03333333333333333,0.10852832744518916,iw_residual_dis2,2.0,0,True,lower_bound
logits_vs_features,logits,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,56,4,0.17030006494313157,0.03571428571428571,0.17004333628728974,iw_residual_dis2,2.0,0,True,lower_bound
logits_vs_features,features,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,58,2,0.13954269939357242,0.10344827586206896,0.12786537377294324,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA1,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,57,3,0.14571245998185692,0.10526315789473684,0.1322767143955873,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA4,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,51,9,0.16369665173229736,0.11764705882352941,0.1523556440531513,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA16,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,59,1,0.1581230652395132,0.05084745762711865,0.15743436091882398,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA32,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,57,3,0.1689626454306762,0.017543859649122806,0.16886938812097138,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA64,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,54,6,0.16941908898266084,0.037037037037037035,0.16915424183424116,iw_residual_dis2,2.0,0,True,lower_bound
all_pca,PCA128,IW residual DIS2 | W=2 | seed=0 (plug-in),60,60,56,4,0.1817372378234958,0.03571428571428571,0.1814236866043899,iw_residual_dis2,2.0,0,True,lower_bound
