prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,critic_history,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff,prediction,plot,panel,series,plotted,temperature
iw_overlap_critic,2.0,0.0,6500.0,33009.0,1625.0,8255.0,0.9144615384615384,0.0,1.0,1.5544252395629883,0.5,0.5,0.5686013698577881,0.24799638986587524,1938.0,19.0,972.0,4.0,0.08743949330008141,0.0012113870381586917,1612.0,13.0,8245.0,10.0,ok,plugin,False,,1619.7876256788622,1551.4148478129882,1.9988147646243906,0.9703610157024289,1.4050347807909382,1.0,0.0012113870381586917,0.0886508803382401,0.9113491196617599,0.9113491196617599,False,49.0,2.0,0.6567696332931519,0.34323036670684814,1.0,"[{'epoch': 0, 'best_score': 0.16027778387069702}, {'epoch': 1, 'best_score': 0.16702961921691895}, {'epoch': 2, 'best_score': 0.1719622015953064}, {'epoch': 3, 'best_score': 0.17926007509231567}, {'epoch': 4, 'best_score': 0.1853799819946289}, {'epoch': 5, 'best_score': 0.19312959909439087}, {'epoch': 6, 'best_score': 0.1988092064857483}, {'epoch': 7, 'best_score': 0.20780867338180542}, {'epoch': 8, 'best_score': 0.2164689302444458}, {'epoch': 9, 'best_score': 0.22501301765441895}, {'epoch': 10, 'best_score': 0.23022550344467163}, {'epoch': 11, 'best_score': 0.24172598123550415}, {'epoch': 12, 'best_score': 0.2571568489074707}, {'epoch': 13, 'best_score': 0.2731541395187378}, {'epoch': 14, 'best_score': 0.27854084968566895}, {'epoch': 15, 'best_score': 0.29219186305999756}, {'epoch': 16, 'best_score': 0.3078477382659912}, {'epoch': 17, 'best_score': 0.32687413692474365}, {'epoch': 18, 'best_score': 0.33525800704956055}, {'epoch': 19, 'best_score': 0.3492855429649353}, {'epoch': 20, 'best_score': 0.3586474061012268}, {'epoch': 21, 'best_score': 0.36979907751083374}, {'epoch': 22, 'best_score': 0.380276620388031}, {'epoch': 23, 'best_score': 0.38774144649505615}, {'epoch': 24, 'best_score': 0.40227967500686646}, {'epoch': 25, 'best_score': 0.4172474145889282}, {'epoch': 26, 'best_score': 0.42868781089782715}, {'epoch': 27, 'best_score': 0.4397342801094055}, {'epoch': 28, 'best_score': 0.45128417015075684}, {'epoch': 29, 'best_score': 0.4561901092529297}, {'epoch': 30, 'best_score': 0.4639959931373596}, {'epoch': 31, 'best_score': 0.4795573949813843}, {'epoch': 32, 'best_score': 0.4825565814971924}, {'epoch': 33, 'best_score': 0.49187010526657104}, {'epoch': 34, 'best_score': 0.5017231106758118}, {'epoch': 35, 'best_score': 0.5120694637298584}, {'epoch': 36, 'best_score': 0.5250080823898315}, {'epoch': 37, 'best_score': 0.535460889339447}, {'epoch': 38, 'best_score': 0.5435528755187988}, {'epoch': 39, 'best_score': 0.5510787963867188}, {'epoch': 40, 'best_score': 0.5570262670516968}, {'epoch': 41, 'best_score': 0.5671409964561462}, {'epoch': 42, 'best_score': 0.5810691118240356}, {'epoch': 43, 'best_score': 0.5926492214202881}, {'epoch': 44, 'best_score': 0.6017662286758423}, {'epoch': 45, 'best_score': 0.6114020347595215}, {'epoch': 46, 'best_score': 0.6180574297904968}, {'epoch': 47, 'best_score': 0.6318988800048828}, {'epoch': 48, 'best_score': 0.6460143327713013}, {'epoch': 49, 'best_score': 0.6567696332931519}]",entity13,1,ERM-aug-rand,logits,13.0,0.9149230718612671,0.9149230718612671,0.689448356628418,0.6898849606513977,splits_entity13_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9113491196617599,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,,,,,0.08548542555928595,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984481372521,1624.9331512180481,1.0185766983514022,0.999300564258624,1.0091213126354317,,0.0,0.08548542555928595,0.914514574440714,0.914514574440714,False,,,,,,,entity13,2,ERM-aug-rand,logits,13.0,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.914514574440714,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561388755984346,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.019181973702,1624.309500771871,1.1049850006760191,0.9993911814760164,1.0291009559699078,,0.0,0.08561388755984346,0.9143861124401566,0.9143861124401566,False,,,,,,,entity13,3,ERM-aug-rand,logits,13.0,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9143861124401566,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,33009.0,1625.0,8255.0,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,1942.0,21.0,973.0,5.0,0.0985915376142921,0.0009691096305269534,1614.0,11.0,8247.0,8.0,ok,plugin,False,,1622.253699438164,1556.4153736577139,1.9990023979740943,0.9750486303414404,1.3807891168967,1.0,0.0009691096305269534,0.09956064724481906,0.9004393527551809,0.9004393527551809,False,49.0,2.0,0.6447920203208923,0.35520797967910767,1.0,"[{'epoch': 0, 'best_score': 0.15882980823516846}, {'epoch': 1, 'best_score': 0.16390186548233032}, {'epoch': 2, 'best_score': 0.17103272676467896}, {'epoch': 3, 'best_score': 0.17764556407928467}, {'epoch': 4, 'best_score': 0.18595659732818604}, {'epoch': 5, 'best_score': 0.18988770246505737}, {'epoch': 6, 'best_score': 0.19329017400741577}, {'epoch': 7, 'best_score': 0.20322000980377197}, {'epoch': 8, 'best_score': 0.20991265773773193}, {'epoch': 9, 'best_score': 0.22067171335220337}, {'epoch': 10, 'best_score': 0.22505038976669312}, {'epoch': 11, 'best_score': 0.2339436411857605}, {'epoch': 12, 'best_score': 0.24982428550720215}, {'epoch': 13, 'best_score': 0.2664909362792969}, {'epoch': 14, 'best_score': 0.27982133626937866}, {'epoch': 15, 'best_score': 0.2967109680175781}, {'epoch': 16, 'best_score': 0.3068091869354248}, {'epoch': 17, 'best_score': 0.3174293637275696}, {'epoch': 18, 'best_score': 0.33020639419555664}, {'epoch': 19, 'best_score': 0.34382832050323486}, {'epoch': 20, 'best_score': 0.3542540669441223}, {'epoch': 21, 'best_score': 0.36730748414993286}, {'epoch': 22, 'best_score': 0.37530213594436646}, {'epoch': 23, 'best_score': 0.3810991048812866}, {'epoch': 24, 'best_score': 0.38968366384506226}, {'epoch': 25, 'best_score': 0.40017974376678467}, {'epoch': 26, 'best_score': 0.41672325134277344}, {'epoch': 27, 'best_score': 0.4281168580055237}, {'epoch': 28, 'best_score': 0.44008123874664307}, {'epoch': 29, 'best_score': 0.44923537969589233}, {'epoch': 30, 'best_score': 0.4583946466445923}, {'epoch': 31, 'best_score': 0.46773862838745117}, {'epoch': 32, 'best_score': 0.47781187295913696}, {'epoch': 33, 'best_score': 0.48964738845825195}, {'epoch': 34, 'best_score': 0.49766796827316284}, {'epoch': 35, 'best_score': 0.49959444999694824}, {'epoch': 36, 'best_score': 0.511118471622467}, {'epoch': 37, 'best_score': 0.5177127718925476}, {'epoch': 38, 'best_score': 0.5271431803703308}, {'epoch': 39, 'best_score': 0.5391438007354736}, {'epoch': 40, 'best_score': 0.5454570055007935}, {'epoch': 41, 'best_score': 0.5511178374290466}, {'epoch': 42, 'best_score': 0.5627442598342896}, {'epoch': 43, 'best_score': 0.5801264643669128}, {'epoch': 44, 'best_score': 0.5901172161102295}, {'epoch': 45, 'best_score': 0.600234866142273}, {'epoch': 46, 'best_score': 0.6131487488746643}, {'epoch': 47, 'best_score': 0.6250109076499939}, {'epoch': 48, 'best_score': 0.6361663341522217}, {'epoch': 49, 'best_score': 0.6447920203208923}]",entity13,1,BN_adapt,logits,13.0,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9004393527551809,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.4046154022216797,0.2502044141292572,,,,,0.08549179991355944,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6031724391955,1624.9410484465059,1.0169836756982102,0.9994533431881897,1.0083758831004526,,0.0,0.08549179991355944,0.9145082000864405,0.9145082000864405,False,,,,,,,entity13,2,BN_adapt,logits,13.0,0.9160000085830688,0.9160000085830688,0.8538461327552795,0.892307698726654,splits_entity13_BN_adapt_2_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9145082000864405,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.9126153846153846,0.0,1.0,25.397035598754883,0.5,0.5,0.4976922869682312,0.2499900907278061,,,,,0.08743014281178145,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.6589780262043,1624.6969378058466,1.0638106655517816,1.0002039587758014,1.0190105245115342,,0.0,0.08743014281178145,0.9125698571882186,0.9125698571882186,False,,,,,,,entity13,3,BN_adapt,logits,13.0,0.9144614934921265,0.9144614934921265,0.6615384817123413,0.6000000238418579,splits_entity13_BN_adapt_3_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9125698571882186,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,33009.0,1625.0,8255.0,0.9070769230769231,0.0,1.0,1.4550573825836182,0.5,0.5,0.5435314178466797,0.24873244762420654,,,,,0.09191288707931866,0.0,1625.0,0.0,8255.0,0.0,ok,plugin,False,,1641.4488473149563,1586.6131904049967,1.90121475678755,0.9799994407040198,1.3239664464902665,,0.0,0.09191288707931866,0.9080871129206813,0.9080871129206813,False,,,,,,,entity13,1,FixMatch,logits,13.0,0.9084615111351013,0.9084615111351013,0.783907413482666,0.7844942808151245,splits_entity13_FixMatch_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.9080871129206813,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.9009230769230769,0.0,1.0,54.598148345947266,0.5,0.5,0.5015385150909424,0.2500728964805603,,,,,0.09900473727829395,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.9295989488955,1624.9558617884702,1.0151660367505841,0.9993271837342014,1.0075259393606255,,0.0,0.09900473727829395,0.900995262721706,0.900995262721706,False,,,,,,,entity13,2,FixMatch,logits,13.0,0.9064615368843079,0.9064615368843079,0.8500000238418579,0.8615384697914124,splits_entity13_FixMatch_2_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.900995262721706,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6500.0,260.0,1625.0,65.0,0.896,0.0,1.0,1.623958706855774,0.5,0.5,0.5561538338661194,0.24780091643333435,,,,,0.10205066059144448,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1625.9476688223476,1567.6994848648808,1.8368637232548892,0.9996833557121209,1.3214127827231323,,0.0,0.10205066059144448,0.8979493394085555,0.8979493394085555,False,,,,,,,entity13,3,FixMatch,logits,13.0,0.9041538238525391,0.9041538238525391,0.6499999761581421,0.5846154093742371,splits_entity13_FixMatch_3_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.8979493394085555,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
iw_overlap_critic,2.0,0.0,6000.0,30828.0,1500.0,7709.0,0.8506666666666667,0.0,1.0,1.2178304195404053,0.5,0.5,0.5528082847595215,0.2467149943113327,1781.0,4.0,891.0,7.0,0.1511342064518752,0.0014269036191464522,1491.0,9.0,7698.0,11.0,ok,plugin,False,,1486.1695365185456,1393.9527718318463,1.9852820271588376,0.9758782468538605,1.4963046223844838,0.9090909090909091,0.0012971851083149566,0.15243139156019014,0.8475686084398099,0.8475686084398099,False,49.0,23.0,0.6369292140007019,0.3630707859992981,1.0,"[{'epoch': 0, 'best_score': 0.08382099866867065}, {'epoch': 1, 'best_score': 0.0844576358795166}, {'epoch': 2, 'best_score': 0.09041905403137207}, {'epoch': 3, 'best_score': 0.1067078709602356}, {'epoch': 4, 'best_score': 0.10643142461776733}, {'epoch': 5, 'best_score': 0.11271911859512329}, {'epoch': 6, 'best_score': 0.1242935061454773}, {'epoch': 7, 'best_score': 0.14531707763671875}, {'epoch': 8, 'best_score': 0.15560615062713623}, {'epoch': 9, 'best_score': 0.16033589839935303}, {'epoch': 10, 'best_score': 0.17090946435928345}, {'epoch': 11, 'best_score': 0.1918240189552307}, {'epoch': 12, 'best_score': 0.20510810613632202}, {'epoch': 13, 'best_score': 0.22783803939819336}, {'epoch': 14, 'best_score': 0.24072623252868652}, {'epoch': 15, 'best_score': 0.253057599067688}, {'epoch': 16, 'best_score': 0.26732951402664185}, {'epoch': 17, 'best_score': 0.2791914939880371}, {'epoch': 18, 'best_score': 0.298672080039978}, {'epoch': 19, 'best_score': 0.3116835355758667}, {'epoch': 20, 'best_score': 0.32651716470718384}, {'epoch': 21, 'best_score': 0.33700990676879883}, {'epoch': 22, 'best_score': 0.3587271571159363}, {'epoch': 23, 'best_score': 0.36483508348464966}, {'epoch': 24, 'best_score': 0.3796035647392273}, {'epoch': 25, 'best_score': 0.3917105197906494}, {'epoch': 26, 'best_score': 0.40189868211746216}, {'epoch': 27, 'best_score': 0.4213902950286865}, {'epoch': 28, 'best_score': 0.44771629571914673}, {'epoch': 29, 'best_score': 0.4574216604232788}, {'epoch': 30, 'best_score': 0.46351373195648193}, {'epoch': 31, 'best_score': 0.4819854497909546}, {'epoch': 32, 'best_score': 0.5004836916923523}, {'epoch': 33, 'best_score': 0.5088238716125488}, {'epoch': 34, 'best_score': 0.5177077054977417}, {'epoch': 35, 'best_score': 0.5267465114593506}, {'epoch': 36, 'best_score': 0.536867618560791}, {'epoch': 37, 'best_score': 0.5486211776733398}, {'epoch': 38, 'best_score': 0.556967556476593}, {'epoch': 39, 'best_score': 0.5631469488143921}, {'epoch': 40, 'best_score': 0.5656918287277222}, {'epoch': 41, 'best_score': 0.5736534595489502}, {'epoch': 42, 'best_score': 0.5809276103973389}, {'epoch': 43, 'best_score': 0.5890078544616699}, {'epoch': 44, 'best_score': 0.6031651496887207}, {'epoch': 45, 'best_score': 0.6106827259063721}, {'epoch': 46, 'best_score': 0.6211180686950684}, {'epoch': 47, 'best_score': 0.6272342205047607}, {'epoch': 48, 'best_score': 0.6330000758171082}, {'epoch': 49, 'best_score': 0.6369292140007019}]",entity30,1,ERM-aug-rand,logits,30.0,0.85916668176651,0.85916668176651,0.559426486492157,0.5599948167800903,splits_entity30_ERM-aug-rand_1_0_b09dc755c62e.npz,b09dc755c62e,False,False,,,,,,,0.8475686084398099,accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),True,
