plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW overlap critic | W=2 | seed=0 (plug-in),90,90,87,3,0.1657969004143119,0.3333333333333333,0.11749350692184408,iw_overlap_critic,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),90,90,90,0,0.06647069421079424,0.28888888888888886,0.05857754581504398,iw_overlap_critic,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,COT,90,90,90,0,0.06961517172555129,0.25555555555555554,0.064187209515108,iw_overlap_critic,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,AC,90,90,90,0,0.10911147031519149,0.1,0.10749399099085066,iw_overlap_critic,2.0,0,False,lower_bound
logits_vs_features,logits,IW overlap critic | W=2 | seed=0 (plug-in),90,90,87,3,0.1657969004143119,0.3333333333333333,0.11749350692184408,iw_overlap_critic,2.0,0,False,lower_bound
logits_vs_features,features,IW overlap critic | W=2 | seed=0 (plug-in),90,90,87,3,0.1988919836876133,0.5747126436781609,0.052986070914713294,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA1,IW overlap critic | W=2 | seed=0 (plug-in),90,90,87,3,0.19780453178997323,0.5057471264367817,0.06415380528970614,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA4,IW overlap critic | W=2 | seed=0 (plug-in),90,90,90,0,0.1970812656420902,0.4777777777777778,0.07456585255261362,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA16,IW overlap critic | W=2 | seed=0 (plug-in),90,90,88,2,0.16528320372447186,0.4090909090909091,0.07930528675016339,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA32,IW overlap critic | W=2 | seed=0 (plug-in),90,90,86,4,0.15952798016208639,0.38372093023255816,0.09860797391894337,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA64,IW overlap critic | W=2 | seed=0 (plug-in),90,90,85,5,0.14572742935294483,0.3058823529411765,0.0999293802489455,iw_overlap_critic,2.0,0,False,lower_bound
all_pca,PCA128,IW overlap critic | W=2 | seed=0 (plug-in),90,90,82,8,0.14424616754508637,0.24390243902439024,0.10709181906404552,iw_overlap_critic,2.0,0,False,lower_bound
