plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.1335797369401441,0.03333333333333333,0.13300897555274183,iw_residual_dis2,1.0,0,True,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),60,60,60,0,0.08293623973925908,0.2,0.0805417999625206,iw_residual_dis2,1.0,0,True,lower_bound
accuracy_vs_baselines,logits,COT,60,60,60,0,0.08075333839903275,0.16666666666666666,0.07900888292739788,iw_residual_dis2,1.0,0,True,lower_bound
accuracy_vs_baselines,logits,AC,60,60,60,0,0.10910890946785609,0.03333333333333333,0.10852832744518916,iw_residual_dis2,1.0,0,True,lower_bound
logits_vs_features,logits,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.1335797369401441,0.03333333333333333,0.13300897555274183,iw_residual_dis2,1.0,0,True,lower_bound
logits_vs_features,features,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.11045992471811997,0.16666666666666666,0.09740301101057593,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA1,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.11756986661323512,0.2,0.10224131374192443,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA4,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.12068845045282656,0.15,0.10593570355829707,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA16,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.12552412810415922,0.1,0.12162152870330917,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA32,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.14293088724293537,0.03333333333333333,0.14284667834407141,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA64,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.15638991782574072,0.06666666666666667,0.15596694835100192,iw_residual_dis2,1.0,0,True,lower_bound
all_pca,PCA128,IW residual DIS2 | W=1 | seed=0 (plug-in),60,60,60,0,0.1702518173273794,0.016666666666666666,0.1702506179913765,iw_residual_dis2,1.0,0,True,lower_bound
