plot,panel,series,n_available,n_matched,n_plotted,n_unsupported_or_nonfinite,mae,empirical_coverage,mean_violation_magnitude,hybrid_method,iw_threshold,seed,DA,prediction_column
accuracy_vs_baselines,logits,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,86,4,0.15546093494821064,0.13953488372093023,0.14624800052433637,iw_residual_dis2,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,ATC (neg. entropy),90,90,90,0,0.06647069421079424,0.28888888888888886,0.05857754581504398,iw_residual_dis2,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,COT,90,90,90,0,0.06961517172555129,0.25555555555555554,0.064187209515108,iw_residual_dis2,2.0,0,False,lower_bound
accuracy_vs_baselines,logits,AC,90,90,90,0,0.10911147031519149,0.1,0.10749399099085066,iw_residual_dis2,2.0,0,False,lower_bound
logits_vs_features,logits,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,86,4,0.15546093494821064,0.13953488372093023,0.14624800052433637,iw_residual_dis2,2.0,0,False,lower_bound
logits_vs_features,features,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,87,3,0.14593539099938183,0.2413793103448276,0.10834877978105176,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA1,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,82,8,0.152463307488729,0.2804878048780488,0.1222094671942173,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA4,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,88,2,0.14722156174472903,0.23863636363636365,0.12543787172197235,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA16,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,88,2,0.1431972768545201,0.23863636363636365,0.1163349399941554,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA32,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,85,5,0.1607017876206769,0.18823529411764706,0.13512531256388177,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA64,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,82,8,0.15893185314329641,0.18292682926829268,0.13689706282961336,iw_residual_dis2,2.0,0,False,lower_bound
all_pca,PCA128,IW residual DIS2 | W=2 | seed=0 (plug-in),90,90,79,11,0.17468493752591127,0.1518987341772152,0.16056128729552938,iw_residual_dis2,2.0,0,False,lower_bound
