prediction_method,iw_threshold,seed,n_source,n_target,n_val_source,n_val_target,h_val_acc,domain_log_odds_clipped_count,source_strength,domain_temperature,domain_source_prior,domain_target_prior,domain_cal_balanced_accuracy,domain_cal_brier,n_source_critic_train_region,n_target_critic_train_region,n_source_critic_select_region,n_target_critic_select_region,iw_error_contribution,target_residual_mass,n_source_a,n_source_b,n_target_a,n_target_b,status,estimate_kind,confidence_bound_available,epsilon,iw_weight_sum,iw_effective_n,iw_weight_max,iw_weight_p50,iw_weight_p95,residual_target_disagreement,residual_error_contribution,error_estimate_raw,accuracy_estimate_raw,lower_bound,output_clipped,critic_epoch,critic_repeat,critic_selection_score,critic_selection_source_disagreement,critic_selection_target_disagreement,dataset,shift,train_method,bound_strategy,dim,src_accuracy,h_full_acc,trg_accuracy,trg_eval_accuracy,split_file,run_id,bound_valid,bound_valid_eval,residual_source_error,residual_source_disagreement,residual_discrepancy,delta,error_upper_bound_raw,max_ts_agree_diff
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,,,,,0.08548542555928595,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984481372521,1624.9331512180481,1.0185766983514022,0.999300564258624,1.0091213126354317,,0.0,0.08548542555928595,0.914514574440714,0.914514574440714,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_overlap_critic,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,,,,,0.08548542555928595,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984481372521,1624.9331512180481,1.0185766983514022,0.999300564258624,1.0091213126354317,,0.0,0.08548542555928595,0.914514574440714,0.914514574440714,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,54.598148345947266,0.5,0.5,0.41615384817123413,0.2502419948577881,,,,,0.08548542555928595,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.4984481372521,1624.9331512180481,1.0185766983514022,0.999300564258624,1.0091213126354317,,0.0,0.08548542555928595,0.914514574440714,0.914514574440714,False,,,,,,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
dis2_reference,,0,6500,260,1625,65,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.20271232772930262,,,,,,,,0.10830769257362072,0.8916923074263793,0.6889799796970767,,47.0,15.0,0.145641028881073,0.7517948746681213,0.8974359035491943,entity13,2,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.8500000238418579,0.892307698726654,splits_entity13_ERM-aug-rand_2_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,0.01,0.3110200203029233,0.022769230769230764
iw_overlap_critic,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,1041.0,36.0,481.0,18.0,0.04397015546046431,0.5538461538461539,835.0,790.0,29.0,36.0,ok,plugin,False,,821.9105859972876,834.8209639779838,0.9999741459502701,0.9885188630654348,0.9988753161443981,0.6944444444444444,0.38461538461538464,0.4285855400758489,0.5714144599241511,0.5714144599241511,False,49.0,2.0,0.5884943008422852,0.35595014691352844,0.9444444179534912,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,,,
iw_residual_dis2,1.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,909.0,36.0,494.0,18.0,0.04397015546046431,0.5538461538461539,835.0,790.0,29.0,36.0,ok,plugin,False,,821.9105859972876,834.8209639779838,0.9999741459502701,0.9885188630654348,0.9988753161443981,0.6944444444444444,0.08876338851022397,0.1327335439706883,0.8672664560293117,0.8672664560293117,False,34.0,24.0,0.3128654956817627,0.6315789222717285,0.9444444179534912,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,0.08481012658227848,0.6189873417721519,0.07545710267229255,,,
iw_overlap_critic,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561388755984346,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.019181973702,1624.309500771871,1.1049850006760191,0.9993911814760164,1.0291009559699078,,0.0,0.08561388755984346,0.9143861124401566,0.9143861124401566,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,2.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561388755984346,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.019181973702,1624.309500771871,1.1049850006760191,0.9993911814760164,1.0291009559699078,,0.0,0.08561388755984346,0.9143861124401566,0.9143861124401566,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_overlap_critic,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561388755984346,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.019181973702,1624.309500771871,1.1049850006760191,0.9993911814760164,1.0291009559699078,,0.0,0.08561388755984346,0.9143861124401566,0.9143861124401566,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
iw_residual_dis2,5.0,0,6500,260,1625,65,0.9144615384615384,0.0,1.0,17.431114196777344,0.5,0.5,0.5138461589813232,0.24997751414775848,,,,,0.08561388755984346,0.0,1625.0,0.0,65.0,0.0,ok,plugin,False,,1623.019181973702,1624.309500771871,1.1049850006760191,0.9993911814760164,1.0291009559699078,,0.0,0.08561388755984346,0.9143861124401566,0.9143861124401566,False,,,,,,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,False,False,,,,,,
dis2_reference,,0,6500,260,1625,65,0.91446153819561,,,,,,,,,,,,,,,,,,ok,dis2_with_correction,True,0.20271232772930262,,,,,,,,0.2720000002659284,0.7279999997340716,0.525287672004769,,44.0,24.0,0.22051280736923218,0.5487179756164551,0.7692307829856873,entity13,3,ERM-aug-rand,logits,13,0.9149230718612671,0.9149230718612671,0.6499999761581421,0.6000000238418579,splits_entity13_ERM-aug-rand_3_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,0.01,0.474712327995231,0.18646153846153846
iw_overlap_critic,1.0,0,6500,33009,1625,8255,0.9033846153846153,0.0,1.0,1.650231957435608,0.5,0.5,0.5637879371643066,0.2481401264667511,1190.0,5224.0,581.0,2654.0,0.04333556541809627,0.5316777710478497,922.0,703.0,3866.0,4389.0,ok,plugin,False,,816.3133081242554,914.8941682194576,0.9999378908802741,0.8962087513136356,0.990655945705353,0.820915926179084,0.4364627498485766,0.4797983152666728,0.5202016847333272,0.5202016847333272,False,49.0,1.0,0.5214374661445618,0.30599284172058105,0.8274303078651428,entity13,1,BN_adapt,logits,13,0.9027692079544067,0.9027692079544067,0.6835105419158936,0.6850394010543823,splits_entity13_BN_adapt_1_0_f475b82dfdbf.npz,f475b82dfdbf,True,True,,,,,,
