prediction_method,iw_threshold,n_total,n_evaluated,n_unsupported,mae,empirical_coverage
dis2_historical,,90,90,0,0.15278821724156538,0.9888888888888889
dis2_reference,,90,90,0,0.12168739018696084,0.8333333333333334
iw_overlap_critic,1.0,90,90,0,0.22812514374960913,0.8888888888888888
iw_overlap_critic,2.0,90,87,3,0.1657969004143119,0.3333333333333333
iw_overlap_critic,5.0,90,85,5,0.18024564977977903,0.17647058823529413
iw_residual_dis2,1.0,90,90,0,0.1220726891135684,0.28888888888888886
iw_residual_dis2,2.0,90,86,4,0.15546093494821064,0.13953488372093023
iw_residual_dis2,5.0,90,82,8,0.18881154874495587,0.0975609756097561
